,ID,title,difficulty,sport,length,time,climb,min,max,technique,fitness,region,lat,lon
0,129549,Bornkänzeli,2 - medium,Hiking,10.3,03:00,318,392,665.0,2,3,aargau,47.320609999999995,7.90747
1,120900,Habsburger Weg 4. Etappe: Baden - Mellingen,2 - medium,Hiking,8.41,02:14,107,349,489.0,1,3,aargau,47.471603,8.306005
2,129607,Aarelauf,2 - medium,Hiking,11.34,02:30,75,391,428.0,2,3,aargau,47.320609999999995,7.90747
3,280170,Veloroute Limmattal,2 - medium,Cycling,46.27,03:22,327,348,554.0,2,4,aargau,47.350552,8.343384
4,129555,Mättenwilerkehr,1 - easy,Hiking,9.27,02:15,182,427,544.0,1,2,aargau,47.275753,7.901228
5,961881,Hüslischnegg am Asperstrihen,2 - medium,Hiking,5.0,01:23,173,670,804.0,3,3,aargau,47.436832,8.029861
6,129565,Mosersagi,2 - medium,Hiking,8.63,02:30,282,431,663.0,2,3,aargau,47.288146999999995,7.943241
7,129552,Am Chilchberger Waldrand,1 - easy,Hiking,8.21,03:00,234,447,566.0,1,2,aargau,47.260258,7.942589
8,581892,"Rundwanderung Seengen, Aargau",1 - easy,Hiking,15.0,03:44,380,481,715.0,1,3,aargau,47.334663,8.204209
9,205242,Walking Trail 1 Lenzburg,0 - no rating,Nordic Walking,10.68,02:28,207,398,537.0,0,0,aargau,47.383492,8.176313
10,129609,Lindensteak,2 - medium,Hiking,11.43,02:30,307,431,637.0,2,3,aargau,47.324627,8.018360000000001
11,129612,Martinsgrabe,1 - easy,Hiking,6.45,01:30,211,431,595.0,1,2,aargau,47.288146999999995,7.943241
12,294700,Skulpturenweg Dietwil,0 - no rating,Thematic route,4.69,01:16,89,436,523.0,0,0,aargau,47.147762,8.3923
13,133127,Waldlehrpfad Emauswald,1 - easy,Thematic route,3.91,01:00,46,380,400.0,0,2,aargau,47.34256,8.347625
14,133125,Schönes Jonental,1 - easy,Hiking,4.91,01:30,110,397,470.0,1,2,aargau,47.296062,8.395478
15,294701,Murimoosweg,0 - no rating,Thematic route,3.16,00:47,12,435,447.0,0,0,aargau,47.293194,8.335
16,129642,Aareblick,1 - easy,Hiking,9.41,02:30,57,397,428.0,2,2,aargau,47.265507,7.831932000000001
